strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco
A16-LA896.fna	Bacillus anthracis	1970-XX-XX	Switzerland	Switzerland	Bos taurus		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812799	GCA_003064015.1	Contig	67	27	46.7985624	8.2319736	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	1197737	1197729	0.000%	27
A16.fna	Bacillus anthracis	1953-XX-XX	China	Hebei	Equus asinus		A.Br.089	PRJNA40303	SAMN02641483	GCA_000512835.2	Complete	56	3	39.0000001	116	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228842	5228842	0.000%	3
A166.fna	Bacillus anthracis	1984-XX-XX	France	Borges	Bos taurus		A.Br.140_(L1)	PRJNA695105	SAMN13164734	GCA_022220945.1	Complete	68	3	47.0811658	2.399125	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229216	5229216	0.000%	3
A167.fna	Bacillus anthracis	1997-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366127	GCA_029694875.1	Contig	830	49	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	541787	541787	0.000%	47
A168.fna	Bacillus anthracis	1998-XX-XX	France	Haute-Marne	Bos taurus		A.Br.UA2_(L6)	PRJNA695105	SAMN13164740	GCA_022220965.1	Complete	63	3	48.1329414	5.25291078975193	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5230079	5230079	0.000%	3
A16R.fna	Bacillus anthracis	20XX-XX-XX					A.Br.086	PRJNA40353	SAMN02641484	GCA_000512775.2	Complete	50	2			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228828	5228828	0.000%	2
A170.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Canis lupus familiaris		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366128	GCA_029695185.1	Contig	785	62	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.2	2.1	0.5	0.3	778	11	238068	238068	0.000%	62
A173.fna	Bacillus anthracis	2005-XX-XX	France	Saone et Loire	Bos taurus		B.Br.006	PRJNA514245	SAMN18366129	GCA_029694725.1	Contig	570	66	46.6557086	4.55855481835173	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	338150	338150	0.000%	66
A174.fna	Bacillus anthracis	2000-XX-XX	France	Nievre	Bos taurus		B.Br.005	PRJNA514245	SAMN18366130	GCA_029695205.1	Contig	362	42	47.11969705	3.54488979472272	99.43	3.16	clinical	NCBI	bacillus_odb12	99.4	95.6	3.7	0.5	0.1	778	11	586940	586940	0.000%	42
A175a.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366131	GCA_029694905.1	Contig	775	57	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.3	1.9	0.5	0.3	778	11	316697	316697	0.000%	57
A178.fna	Bacillus anthracis	2008-XX-XX	France	Moselle	Homo sapiens		A.Br.UA4	PRJNA695105	SAMN13164747	GCA_022220985.1	Complete	62	3	49.0207259	6.53803517035795	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	5224614	5224614	0.000%	3
A180.fna	Bacillus anthracis	2006-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366132	GCA_029695225.1	Contig	940	54	45.49489515	6.38466038137565	99.43	2.01	clinical	NCBI	bacillus_odb12	99.4	96.4	3	0.5	0.1	778	11	238073	238073	0.000%	54
A181.fna	Bacillus anthracis	2007-XX-XX	France	Aveyron	Bos taurus		B.Br.006	PRJNA514245	SAMN18366133	GCA_029695245.1	Contig	897	54	44.31585745	2.50656973024198	99.43	2.59	clinical	NCBI	bacillus_odb12	99.4	96.3	3.1	0.5	0.1	778	11	338331	338331	0.000%	54
A182.fna	Bacillus anthracis	2008-XX-XX	France	Meurthe-et-Moselle	Bos taurus		A.Br.UA4	PRJNA695105	SAMN13164746	GCA_022220505.1	Complete	76	3	48.95596825	5.98703829975656	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5229323	5229323	0.000%	3
A183.fna	Bacillus anthracis	2008-XX-XX	France	Cantal	Bos taurus		B.Br.006	PRJNA514245	SAMN18366134	GCA_029695265.1	Contig	1072	56	45.0497701	2.69971756773736	99.43	2.01	clinical	NCBI	bacillus_odb12	99.4	96.4	3	0.5	0.1	778	11	238068	238068	0.000%	56
A185.fna	Bacillus anthracis	2006-XX-XX	France	Saone et Loire	Bos taurus		B.Br.006	PRJNA514245	SAMN18366135	GCA_029695285.1	Contig	829	52	46.6557086	4.55855481835173	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	338324	338324	0.000%	52
A188.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria		Environment	B.Br.004_(FrenchB)	PRJNA514245	SAMN18366136	GCA_029694745.1	Contig	362	40	48.9467562	11.4038717	99.43	0.86	environment	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	587935	587935	0.000%	40
A189.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria		Environment	B.Br.004_(FrenchB)	PRJNA514245	SAMN18366137	GCA_029695325.1	Contig	929	54	48.9467562	11.4038717	99.43	2.01	environment	NCBI	bacillus_odb12	99.4	96.4	3	0.5	0.1	778	11	348313	348313	0.000%	54
A191.fna	Bacillus anthracis	20XX-XX-XX			Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366138	GCA_029694795.1	Contig	1168	51			99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.2	2.1	0.5	0.3	778	11	493944	493944	0.000%	51
A192a.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366139	GCA_029695105.1	Contig	712	53	42.5824012	0.538827167130727	99.43	3.16	clinical	NCBI	bacillus_odb12	99.2	95.5	3.7	0.5	0.3	778	11	263806	263806	0.000%	53
A193a.fna	Bacillus anthracis	1997-XX-XX	France	France	Bos taurus		A.Br.UA2_(L6)	PRJNA695105	SAMN13164741	GCA_022220925.1	Complete	62	3	46.603354	1.8883335	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229583	5229583	0.000%	3
A193b.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366140	GCA_029694665.1	Contig	1059	52	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.3	1.9	0.5	0.3	778	11	263806	263806	0.000%	46
A194.fna	Bacillus anthracis	1997-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366141	GCA_029695125.1	Contig	1385	55	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	402478	402478	0.000%	54
A195.fna	Bacillus anthracis	2009-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366142	GCA_029694705.1	Contig	848	55	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	238071	238071	0.000%	55
A196.fna	Bacillus anthracis	2009-XX-XX	France	Isere	Bos taurus		B.Br.005	PRJNA514245	SAMN18366143	GCA_029695145.1	Contig	677	57	45.28979315	5.63438247738623	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	353802	353802	0.000%	55
A197.fna	Bacillus anthracis	2009-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366144	GCA_029695165.1	Contig	826	59	45.49489515	6.38466038137565	99.43	2.01	clinical	NCBI	bacillus_odb12	99.4	96.4	3	0.5	0.1	778	11	238071	238071	0.000%	59
A2012.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA299	SAMN02435829	GCA_000006155.2	Chromosome		426			94.52	0	unknown	NCBI	bacillus_odb12	92.5	91.8	0.8	3.5	4	778	11	5093554	25044	0.789%	3
A2075.fna	Bacillus anthracis	1999-XX-XX	Tanzania	Tanzania	Papio		A.Br.038	PRJNA514245	SAMN04283799	GCA_029699825.1	Contig	120	61	-6.22	34.53	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	344984	344984	0.000%	61
A2079.fna	Bacillus anthracis	1999-XX-XX	Tanzania	Tanzania	Aepyceros melampus		A.Br.035_036	PRJNA514245	SAMN04283798	GCA_029699785.1	Contig	44	68	-6.22	34.53	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	97.4	1.8	0.5	0.3	778	11	198331	198331	0.000%	65
A24-TN_Bovine_Sokol.fna	Bacillus anthracis	1972-XX-XX	Slovakia	Slovakia	Bos primigenius taurus		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812798	GCA_003064045.1	Scaffold	88	30	48.7411522	19.4528646	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	580764	492626	0.002%	28
A27.fna	Bacillus anthracis	20XX-XX-XX	Germany	Giessen	Homo sapiens		A.Br.127_(Pasteur)	PRJNA695105	SAMN13164726	GCA_022221045.1	Complete	80	3	50.5862066	8.6742306	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5230210	5230210	0.000%	3
A29.fna	Bacillus anthracis	1954-XX-XX	Germany	Giessen			A.Br.127_(Pasteur)	PRJNA695105	SAMN13164728	GCA_022220525.1	Complete	71	3	50.5862066	8.6742306	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229955	5229955	0.000%	3
A3.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402701	GCA_029694965.1	Contig	289	60	-23.9316231	31.5048950217197	99.43	6.47	environment	NCBI	bacillus_odb12	99.2	92	7.2	0.4	0.4	778	11	246414	246414	0.000%	60
A3716.fna	Bacillus anthracis	2006-XX-XX	Namibia	Namibia	Equus zebra		A.Br.100	PRJNA514245	SAMN04283842	GCA_029700525.1	Contig	247	57	-22.57	18.29	99.43	4.09	clinical	NCBI	bacillus_odb12	99.2	93.8	5.4	0.6	0.1	778	11	203415	203415	0.000%	57
A3783.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			C.Br.002	PRJNA695105	SAMN18241469	GCA_022221185.1	Complete	68	3	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5279066	5279066	0.000%	3
A3802.fna	Bacillus anthracis	2006-XX-XX	Cote_d_Ivoire	Cote_d_Ivoire	Capra sp.	Hide	A.Br.157	PRJNA514245	SAMN04283884	GCA_029699365.1	Contig	238	56	7.32	-5.32	99.43	4.09	clinical	NCBI	bacillus_odb12	99.2	93.7	5.5	0.6	0.1	778	11	262736	262736	0.000%	56
A4564.fna	Bacillus anthracis	2009-XX-XX	Germany	Aachen	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566004	GCA_029701425.1	Contig	75	49	50.46	6.5	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	580118	580118	0.000%	49
A4565.fna	Bacillus anthracis	2010-XX-XX	Germany	Aachen	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03566005	GCA_029701465.1	Contig	61	47	50.46	6.5	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	596270	596270	0.000%	47
A4566.fna	Bacillus anthracis	2012-XX-XX	Denmark	Copenhagen	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03566006	GCA_029701405.1	Contig	49	49	55.4	12.34	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	596281	596281	0.000%	49
A4567.fna	Bacillus anthracis	2012-XX-XX	Denmark	Copenhagen	Homo sapiens 	skin anthrax		DAOITA01	SAMN03566007	GCA_029701385.1	Contig	48	57					clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227588	1662461	0.861%	3
A4568.fna	Bacillus anthracis	2000-XX-XX	Norway	Oslo	Homo sapiens	Skin	A.Br.171	PRJNA514245	SAMN03566008	GCA_029701365.1	Contig	55	47	59.54	10.45	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	580161	580161	0.000%	47
A4571.fna	Bacillus anthracis	2012-XX-XX	Germany	Regensburg	Homo sapiens	Skin	A.Br.171	PRJNA514245	SAMN03566009	GCA_029701345.1	Contig	93	43	49	12.6	99.43	0.48	clinical	NCBI	bacillus_odb12	99.4	97.6	1.8	0.5	0.1	778	11	602532	602532	0.000%	43
A4572.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565959	GCA_029702425.1	Contig	60	45	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	601224	601224	0.000%	45
A4573.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565982	GCA_029701925.1	Contig	59	53	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.1	1.3	0.5	0.1	778	11	580118	580118	0.000%	53
A4574.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03566003	GCA_029701445.1	Contig	114	40	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	597725	597725	0.000%	40
A4576.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dundee	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566011	GCA_029701325.1	Contig	84	41	56.27	-2.58	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.8	1.5	0.5	0.1	778	11	907037	907037	0.000%	41
A4577.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566012	GCA_029701265.1	Contig	69	46	55.51	-4.15	99.43	0.67	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	719685	719685	0.000%	46
A4578.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566013	GCA_029701165.1	Contig	70	49	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	601274	601274	0.000%	49
A4579.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kirkcaldy	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566014	GCA_029701305.1	Contig	87	42	56.7	-3.9	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	936636	936636	0.000%	42
A4580.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kirkcaldy	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566015	GCA_029701245.1	Contig	70	47	56.7	-3.9	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	587123	587123	0.000%	47
A4581.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dundee	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566016	GCA_029701225.1	Contig	66	46	56.27	-2.58	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	596364	596364	0.000%	46
A4582.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566017	GCA_029701145.1	Contig	64	46	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	596350	596350	0.000%	46
A4583.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Groin Sinus	A.Br.169	PRJNA514245	SAMN03565960	GCA_029702345.1	Contig	86	43	55.36	-4.29	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.8	1.5	0.5	0.1	778	11	597797	597797	0.000%	43
A4584.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565961	GCA_029702485.1	Contig	90	44	55.36	-4.29	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.7	1.7	0.5	0.1	778	11	601366	601366	0.000%	44
A4585.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565962	GCA_029702365.1	Contig	79	42	55.36	-4.29	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.7	1.7	0.5	0.1	778	11	596401	596401	0.000%	36
A4586.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565963	GCA_029702305.1	Contig	79	44	55.36	-4.29	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	601274	601274	0.000%	44
A4587.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565964	GCA_029702325.1	Contig	128	43	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	719635	719635	0.000%	43
A4588.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565965	GCA_029702265.1	Contig	73	45	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	601364	601364	0.000%	45
A4589.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Abscess	A.Br.169	PRJNA514245	SAMN03565966	GCA_029702205.1	Contig	81	41	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	938004	938004	0.000%	41
A4590.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565967	GCA_029702185.1	Contig	88	46	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.6	1.8	0.5	0.1	778	11	601293	601293	0.000%	46
A4591.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565968	GCA_029702165.1	Contig	128	42	51.3	-0.7	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	596424	596424	0.000%	42
A4592.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565969	GCA_029702145.1	Contig	102	45	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	601274	601274	0.000%	43
A4593.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Wound	A.Br.169	PRJNA514245	SAMN03565972	GCA_029702085.1	Contig	69	43	55.51	-4.15	99.43	1.44	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	729796	729796	0.000%	43
A4594.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565970	GCA_029702105.1	Contig	89	44	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	601277	601277	0.000%	44
A4595.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565971	GCA_029702125.1	Contig	88	47	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.1	1.3	0.5	0.1	778	11	873253	873253	0.000%	47
A4596.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565973	GCA_029702065.1	Contig	67	46	56.12	-3.8	99.43	0.67	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	596410	596410	0.000%	46
A4597.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565974	GCA_029702045.1	Contig	59	48	56.12	-3.8	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	596429	596429	0.000%	48
A4598.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565975	GCA_029702025.1	Contig	86	40	56.12	-3.8	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.7	1.7	0.5	0.1	778	11	601281	601281	0.000%	40
A4599.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565976	GCA_029702005.1	Contig	136	40	55.4	-3.36	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	596382	596382	0.000%	40
A46.fna	Bacillus anthracis	1970-XX-XX	Germany	Stuttgart	Sus scrofa		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812800	GCA_003064085.1	Contig	63	41	48.7784485	9.1800132	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	699941	699934	0.000%	41
A4600.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565977	GCA_029701985.1	Contig	62	45	55.4	-3.36	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	601185	601185	0.000%	45
A4601.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565979	GCA_029701945.1	Contig	62	46	51.3	-0.7	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	601347	601347	0.000%	46
A4602.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565980	GCA_029701885.1	Contig	79	43	51.3	-0.7	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	601281	601281	0.000%	43
A4603.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565981	GCA_029701905.1	Contig	139	36	55.4	-3.36	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	601306	601306	0.000%	36
A4604.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Edinburgh	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565983	GCA_029701865.1	Contig	76	44	55.57	-3.11	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	719714	719714	0.000%	44
A4605.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Edinburgh	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565984	GCA_029701845.1	Contig	64	50	55.57	-3.11	99.43	0.48	clinical	NCBI	bacillus_odb12	99.4	98.5	0.9	0.5	0.1	778	11	596435	596435	0.000%	50
A4606.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565985	GCA_029701805.1	Contig	90	40	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.6	1.8	0.5	0.1	778	11	906015	906015	0.000%	40
A4607.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565986	GCA_029701825.1	Contig	87	49	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.8	1.5	0.5	0.1	778	11	601334	601334	0.000%	41
A4608.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565987	GCA_029701785.1	Contig	75	43	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.1	1.3	0.5	0.1	778	11	729796	729796	0.000%	43
A4609.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565988	GCA_029701745.1	Contig	74	46	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.4	1.8	0.6	0.1	778	11	601319	601319	0.000%	46
A4610.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565989	GCA_029701765.1	Contig	73	47	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.1	1.3	0.5	0.1	778	11	601264	601264	0.000%	47
A4611.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565990	GCA_029701725.1	Contig	94	41	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.8	1.5	0.5	0.1	778	11	601367	601367	0.000%	41
A4612.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565991	GCA_029701705.1	Contig	97	41	55.51	-4.15	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	601337	601337	0.000%	41
A4613.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565992	GCA_029701685.1	Contig	78	46	55.51	-4.15	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	601320	601320	0.000%	46
A4614.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Maidstone	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565993	GCA_029701625.1	Contig	77	45	51.16	-0.31	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.1	1.3	0.5	0.1	778	11	596341	596341	0.000%	37
